Flora Description,Flora Type,Installation Date,Location
Betula nigra,TREE,11/02/2010,Meatpacking District
Betula nigra,TREE,11/02/2010,Meatpacking District
Betula nigra,TREE,11/02/2010,Meatpacking District
Betula nigra,TREE,11/02/2010,Meatpacking District
Betula nigra,TREE,11/02/2010,Meatpacking District
Betula nigra,TREE,11/02/2010,Meatpacking District
Betula nigra,TREE,11/02/2010,Meatpacking District
Gleditsia triacanthos inermis ;Skyline;,TREE,11/02/2010,Meatpacking District
Gleditsia triacanthos inermis ;Skyline;,TREE,11/02/2010,Meatpacking District
Gleditsia triacanthos inermis ;Skyline;,TREE,11/02/2010,Meatpacking District
Gymnocladus dioicius,TREE,11/02/2010,Meatpacking District
Gymnocladus dioicius,TREE,11/02/2010,Meatpacking District
Gymnocladus dioicius,TREE,11/02/2010,Meatpacking District
Gymnocladus dioicius,TREE,11/02/2010,Meatpacking District
Gymnocladus dioicius,TREE,11/02/2010,Meatpacking District
Gymnocladus dioicius,TREE,11/02/2010,Meatpacking District
Gymnocladus dioicius,TREE,11/02/2010,Meatpacking District
Gymnocladus dioicius,TREE,11/02/2010,Meatpacking District
Gymnocladus dioicius,TREE,11/02/2010,Meatpacking District
Gymnocladus dioicius,TREE,11/02/2010,Meatpacking District
Gymnocladus dioicius,TREE,11/02/2010,Meatpacking District
Gymnocladus dioicius,TREE,11/02/2010,Meatpacking District
Gymnocladus dioicius,TREE,11/02/2010,Meatpacking District
Gymnocladus dioicius,TREE,11/02/2010,Meatpacking District
Gymnocladus dioicius,TREE,11/02/2010,Meatpacking District
Gymnocladus dioicius,TREE,11/02/2010,Meatpacking District
Gymnocladus dioicius,TREE,11/02/2010,Meatpacking District
Gymnocladus dioicius,TREE,11/02/2010,Meatpacking District
Gymnocladus dioicius,TREE,11/02/2010,Meatpacking District
Gymnocladus dioicius,TREE,11/02/2010,Meatpacking District
Gymnocladus dioicius,TREE,11/02/2010,Meatpacking District
Gymnocladus dioicius,TREE,11/02/2010,Meatpacking District
Gymnocladus dioicius,TREE,11/02/2010,Meatpacking District
Metasequoia glytpstroboides,TREE,11/02/2010,Meatpacking District
Metasequoia glytpstroboides,TREE,11/02/2010,Meatpacking District
Metasequoia glytpstroboides,TREE,11/02/2010,Meatpacking District
Metasequoia glytpstroboides,TREE,11/02/2010,Meatpacking District
Metasequoia glytpstroboides,TREE,11/02/2010,Meatpacking District
Metasequoia glytpstroboides,TREE,11/02/2010,Meatpacking District
Nyssa sylvatica,TREE,11/02/2010,Meatpacking District
Nyssa sylvatica,TREE,11/02/2010,Meatpacking District
Nyssa sylvatica,TREE,11/02/2010,Meatpacking District
Nyssa sylvatica,TREE,11/02/2010,Meatpacking District
Nyssa sylvatica,TREE,11/02/2010,Meatpacking District
Nyssa sylvatica,TREE,11/02/2010,Meatpacking District
Nyssa sylvatica,TREE,11/02/2010,Meatpacking District
Nyssa sylvatica,TREE,11/02/2010,Meatpacking District
Nyssa sylvatica,TREE,11/02/2010,Meatpacking District
Nyssa sylvatica,TREE,11/02/2010,Meatpacking District
Nyssa sylvatica,TREE,11/02/2010,Meatpacking District
Nyssa sylvatica,TREE,11/02/2010,Meatpacking District
Pinus bungeana,TREE,11/02/2010,Meatpacking District
Prunus serotina,TREE,11/02/2010,Meatpacking District
Prunus serotina,TREE,11/02/2010,Meatpacking District
Prunus serotina,TREE,11/02/2010,Meatpacking District
Prunus serotina,TREE,11/02/2010,Meatpacking District
Prunus serotina,TREE,11/02/2010,Meatpacking District
Prunus serotina,TREE,11/02/2010,Meatpacking District
Prunus serotina,TREE,11/02/2010,Meatpacking District
Prunus serotina,TREE,11/02/2010,Meatpacking District
Prunus serotina,TREE,11/02/2010,Meatpacking District
Prunus serotina,TREE,11/02/2010,Meatpacking District
Prunus serotina,TREE,11/02/2010,Meatpacking District
Prunus serotina,TREE,11/02/2010,Meatpacking District
Prunus serotina,TREE,11/02/2010,Meatpacking District
Prunus serotina,TREE,11/02/2010,Meatpacking District
Robinia pseudoacacia ;Purple Robe;,TREE,11/02/2010,Meatpacking District
Robinia pseudoacacia ;Purple Robe;,TREE,11/02/2010,Meatpacking District
Robinia pseudoacacia ;Purple Robe;,TREE,11/02/2010,Meatpacking District
Robinia pseudoacacia ;Purple Robe;,TREE,11/02/2010,Meatpacking District
Robinia pseudoacacia ;Purple Robe;,TREE,11/02/2010,Meatpacking District
Robinia pseudoacacia ;Purple Robe;,TREE,11/02/2010,Meatpacking District
Robinia pseudoacacia ;Purple Robe;,TREE,11/02/2010,Meatpacking District
Robinia pseudoacacia ;Purple Robe;,TREE,11/02/2010,Meatpacking District
Robinia pseudoacacia ;Purple Robe;,TREE,11/02/2010,Meatpacking District
Robinia pseudoacacia ;Purple Robe;,TREE,11/02/2010,Meatpacking District
Robinia pseudoacacia ;Purple Robe;,TREE,11/02/2010,Meatpacking District
Clematis paniculata 49ct,VINE,11/02/2010,Meatpacking District
Campsis radicans 57ct,VINE,11/02/2010,Meatpacking District
Pier 64 Southernmost Bed,PLANTBED,11/02/2010,Meatpacking District
Malus floribunda,TREE,11/02/2010,Meatpacking District
Malus floribunda,TREE,11/02/2010,Meatpacking District
Malus floribunda,TREE,11/02/2010,Meatpacking District
Malus floribunda,TREE,11/02/2010,Meatpacking District
Malus floribunda,TREE,11/02/2010,Meatpacking District
Malus floribunda,TREE,11/02/2010,Meatpacking District
Malus floribunda,TREE,11/02/2010,Meatpacking District
Malus floribunda,TREE,11/02/2010,Meatpacking District
Malus floribunda,TREE,11/02/2010,Meatpacking District
Malus floribunda,TREE,11/02/2010,Meatpacking District
Malus floribunda,TREE,11/02/2010,Meatpacking District
Pier 64 Westernmost Bed,PLANTBED,11/02/2010,Meatpacking District
Gleditsia triacanthos inermis ;Skyline;,TREE,11/02/2010,Meatpacking District
Gleditsia triacanthos inermis ;Skyline;,TREE,11/02/2010,Meatpacking District
Gleditsia triacanthos inermis ;Skyline;,TREE,11/02/2010,Meatpacking District
Gleditsia triacanthos inermis ;Skyline;,TREE,11/02/2010,Meatpacking District
Gleditsia triacanthos inermis ;Skyline;,TREE,11/02/2010,Meatpacking District
Gleditsia triacanthos inermis ;Skyline;,TREE,11/02/2010,Meatpacking District
Gleditsia triacanthos inermis ;Skyline;,TREE,11/02/2010,Meatpacking District
Gleditsia triacanthos inermis ;Skyline;,TREE,11/02/2010,Meatpacking District
Gleditsia triacanthos inermis ;Skyline;,TREE,11/02/2010,Meatpacking District
Gleditsia triacanthos inermis ;Skyline;,TREE,11/02/2010,Meatpacking District
Gleditsia triacanthos inermis ;Skyline;,TREE,11/02/2010,Meatpacking District
Gleditsia triacanthos inermis ;Skyline;,TREE,11/02/2010,Meatpacking District
Gleditsia triacanthos inermis ;Skyline;,TREE,11/02/2010,Meatpacking District
Gleditsia triacanthos inermis ;Skyline;,TREE,11/02/2010,Meatpacking District
Gleditsia triacanthos inermis ;Skyline;,TREE,11/02/2010,Meatpacking District
Gleditsia triacanthos inermis ;Skyline;,TREE,11/02/2010,Meatpacking District
Gleditsia triacanthos inermis ;Skyline;,TREE,11/02/2010,Meatpacking District
Gleditsia triacanthos inermis ;Skyline;,TREE,11/02/2010,Meatpacking District
Gleditsia triacanthos inermis ;Skyline;,TREE,11/02/2010,Meatpacking District
Gleditsia triacanthos inermis ;Skyline;,TREE,11/02/2010,Meatpacking District
Gleditsia triacanthos inermis ;Skyline;,TREE,11/02/2010,Meatpacking District
Gleditsia triacanthos inermis ;Skyline;,TREE,11/02/2010,Meatpacking District
Gleditsia triacanthos inermis ;Skyline;,TREE,11/02/2010,Meatpacking District
Gleditsia triacanthos inermis ;Skyline;,TREE,11/02/2010,Meatpacking District
Gleditsia triacanthos inermis ;Skyline;,TREE,11/02/2010,Meatpacking District
Gleditsia triacanthos inermis ;Skyline; multistemmed,TREE,11/02/2010,Meatpacking District
Gleditsia triacanthos inermis ;Skyline; multistemmed,TREE,11/02/2010,Meatpacking District
Gleditsia triacanthos inermis ;Skyline; multistemmed,TREE,11/02/2010,Meatpacking District
Gleditsia triacanthos inermis ;Skyline; multistemmed,TREE,11/02/2010,Meatpacking District
Gleditsia triacanthos inermis ;Skyline; multistemmed,TREE,11/02/2010,Meatpacking District
Gleditsia triacanthos inermis ;Skyline; multistemmed,TREE,11/02/2010,Meatpacking District
Gleditsia triacanthos inermis ;Skyline; multistemmed,TREE,11/02/2010,Meatpacking District
Gleditsia triacanthos inermis ;Skyline; multistemmed,TREE,11/02/2010,Meatpacking District
Prunus serotina,TREE,11/02/2010,Meatpacking District
Prunus serotina,TREE,11/02/2010,Meatpacking District
Prunus serotina,TREE,11/02/2010,Meatpacking District
Prunus serotina,TREE,11/02/2010,Meatpacking District
Prunus serotina,TREE,11/02/2010,Meatpacking District
Prunus serotina,TREE,11/02/2010,Meatpacking District
Prunus serotina,TREE,11/02/2010,Meatpacking District
Prunus serotina,TREE,11/02/2010,Meatpacking District
Prunus serotina,TREE,11/02/2010,Meatpacking District
Prunus serotina,TREE,11/02/2010,Meatpacking District
Ilex glabra 21ct,SHRUB,11/02/2010,Meatpacking District
Myrica pennsylvanica 58ct,SHRUB,11/02/2010,Meatpacking District
Rhus aromatica 31ct,SHRUB,11/02/2010,Meatpacking District
Pier 64 North East Bed,PLANTBED,11/02/2010,Meatpacking District
Gleditsia triacanthos inermis ;Skyline;,TREE,11/02/2010,Meatpacking District
Gleditsia triacanthos inermis ;Skyline;,TREE,11/02/2010,Meatpacking District
Gleditsia triacanthos inermis ;Skyline;,TREE,11/02/2010,Meatpacking District
Gleditsia triacanthos inermis ;Skyline;,TREE,11/02/2010,Meatpacking District
Gleditsia triacanthos inermis ;Skyline;,TREE,11/02/2010,Meatpacking District
Gleditsia triacanthos inermis ;Skyline;,TREE,11/02/2010,Meatpacking District
Gleditsia triacanthos inermis ;Skyline;,TREE,11/02/2010,Meatpacking District
Gleditsia triacanthos inermis ;Skyline;,TREE,11/02/2010,Meatpacking District
Gleditsia triacanthos inermis ;Skyline; multistemmed,TREE,11/02/2010,Meatpacking District
Gleditsia triacanthos inermis ;Skyline; multistemmed,TREE,11/02/2010,Meatpacking District
Gleditsia triacanthos inermis ;Skyline; multistemmed,TREE,11/02/2010,Meatpacking District
Gleditsia triacanthos inermis ;Skyline; multistemmed,TREE,11/02/2010,Meatpacking District
Gleditsia triacanthos inermis ;Skyline; multistemmed,TREE,11/02/2010,Meatpacking District
Gleditsia triacanthos inermis ;Skyline; multistemmed,TREE,11/02/2010,Meatpacking District
Malus floribunda,TREE,11/02/2010,Meatpacking District
Malus floribunda,TREE,11/02/2010,Meatpacking District
Malus floribunda,TREE,11/02/2010,Meatpacking District
Malus floribunda,TREE,11/02/2010,Meatpacking District
Malus floribunda,TREE,11/02/2010,Meatpacking District
Malus floribunda,TREE,11/02/2010,Meatpacking District
Malus floribunda,TREE,11/02/2010,Meatpacking District
Malus floribunda,TREE,11/02/2010,Meatpacking District
Malus floribunda,TREE,11/02/2010,Meatpacking District
Malus floribunda,TREE,11/02/2010,Meatpacking District
Malus floribunda,TREE,11/02/2010,Meatpacking District
Prunus serotina,TREE,11/02/2010,Meatpacking District
Prunus serotina,TREE,11/02/2010,Meatpacking District
Prunus serotina,TREE,11/02/2010,Meatpacking District
Ilex glabra 41ct,SHRUB,11/02/2010,Meatpacking District
Myrica pennsylvanica 53ct,SHRUB,11/02/2010,Meatpacking District
Rhus aromatica 56ct,SHRUB,11/02/2010,Meatpacking District
Pier 64 Northwest Lawn Bed,PLANTBED,11/02/2010,Meatpacking District
Quercus rubra,TREE,11/02/2010,Meatpacking District
Quercus rubra,TREE,11/02/2010,Meatpacking District
Quercus rubra,TREE,11/02/2010,Meatpacking District
Quercus rubra,TREE,11/02/2010,Meatpacking District
Quercus rubra,TREE,11/02/2010,Meatpacking District
Quercus rubra,TREE,11/02/2010,Meatpacking District
Quercus rubra,TREE,11/02/2010,Meatpacking District
Quercus rubra,TREE,11/02/2010,Meatpacking District
NorthEast Lawn Bed by 26th st. Maint. Bldg.,PLANTBED,11/02/2010,Meatpacking District
Quercus rubra,TREE,11/02/2010,Meatpacking District
Quercus rubra,TREE,11/02/2010,Meatpacking District
Quercus rubra,TREE,11/02/2010,Meatpacking District
Quercus rubra,TREE,11/02/2010,Meatpacking District
Quercus rubra,TREE,11/02/2010,Meatpacking District
Quercus rubra,TREE,11/02/2010,Meatpacking District
Quercus rubra,TREE,11/02/2010,Meatpacking District
Quercus rubra,TREE,11/02/2010,Meatpacking District
Quercus rubra,TREE,11/02/2010,Meatpacking District
Quercus rubra,TREE,11/02/2010,Meatpacking District
Quercus rubra,TREE,11/02/2010,Meatpacking District
Quercus rubra,TREE,11/02/2010,Meatpacking District
Quercus rubra,TREE,11/02/2010,Meatpacking District
Quercus rubra,TREE,11/02/2010,Meatpacking District
Quercus rubra,TREE,11/02/2010,Meatpacking District
Quercus rubra,TREE,11/02/2010,Meatpacking District
Quercus rubra,TREE,11/02/2010,Meatpacking District
Quercus rubra,TREE,11/02/2010,Meatpacking District
Quercus rubra,TREE,11/02/2010,Meatpacking District
Quercus rubra,TREE,11/02/2010,Meatpacking District
Quercus rubra,TREE,11/02/2010,Meatpacking District
Quercus rubra,TREE,11/02/2010,Meatpacking District
Quercus rubra,TREE,11/02/2010,Meatpacking District
Quercus rubra,TREE,11/02/2010,Meatpacking District
Quercus rubra,TREE,11/02/2010,Meatpacking District
Quercus rubra,TREE,11/02/2010,Meatpacking District
Gleditsia triacanthos,TREE,10/01/2010,Meatpacking District
Gleditsia triacanthos,TREE,10/01/2010,Meatpacking District
Segment 3 Irrigation Systems,IRRIGATE,04/01/2010,Tribeca
Irrigation System 3A,IRRIGATE,04/01/2010,Tribeca
Koelreuteria paniculata,TREE,09/30/2009,Tribeca
Koelreuteria paniculata,TREE,09/29/2009,Tribeca
Koelreuteria paniculata,TREE,09/28/2009,Tribeca
Dianthus gratianapolitanus 100ct,PERENNIAL,09/28/2009,Tribeca
Festuca amethystina ;Superba; 173ct,GRASS,09/28/2009,Tribeca
Hemerocallis ;Happy Returns; 18ct,PERENNIAL,09/28/2009,Tribeca
Koelreuteria paniculata,TREE,09/27/2009,Tribeca
Koelreuteria paniculata,TREE,09/26/2009,Tribeca
Quercus acutissima,TREE,09/25/2009,Battery Park City (no longer a part of Hudson River Park)
Quercus acutissima,TREE,09/25/2009,Battery Park City (no longer a part of Hudson River Park)
Quercus bicolor,TREE,09/25/2009,Battery Park City (no longer a part of Hudson River Park)
Goldman Sachs Building,PLANTBED,09/25/2009,Battery Park City (no longer a part of Hudson River Park)
Skate Park Promenade Southernmost Bed by lawn,PLANTBED,09/25/2009,Tribeca
Cerastium tomentosum 20ct,PERENNIAL,09/25/2009,Tribeca
Iris sibirica ;Caesar;s Brother; 59ct,PERENNIAL,09/25/2009,Tribeca
Iris sibirica ;Silver Edge; 59ct,PERENNIAL,09/25/2009,Tribeca
Verbena bonariensis 59ct,SHRUB,09/25/2009,Tribeca
Dianthus gratianapolitanus 172ct,PERENNIAL,09/25/2009,Tribeca
Coreopsis grandiflora ;Rosea; 114ct,SHRUB,09/25/2009,Tribeca
Hemerocallis ;Ice Carnival; 60ct,PERENNIAL,09/25/2009,Tribeca
Hemerocallis ;Rosey Returns; 54ct,PERENNIAL,09/25/2009,Tribeca
Allium ;Globemaster; 28ct,SHRUB,09/25/2009,Tribeca
Spiraea x bumalda ;Anthony Waterer; 31ct,PERENNIAL,09/25/2009,Tribeca
Echinacea purpurea ;Magnus; 30ct,PERENNIAL,09/25/2009,Tribeca
Echinacea purpurea ;Mango Meadow brite; 30ct,PERENNIAL,09/25/2009,Tribeca
Sedum spectabilis ;Autumn Joy; 142ct,PERENNIAL,09/25/2009,Tribeca
Taxus x media ;Greenwave; 16ct,SHRUB,09/25/2009,Tribeca
Comptonia peregrina 5ct,SHRUB,09/25/2009,Tribeca
Fothergilla gardenii 45ct,SHRUB,09/25/2009,Tribeca
Aster novi-belgii ;Wood;s Blue;  53ct,PERENNIAL,09/25/2009,Tribeca
Spiraea japonica ;Little Princess; 37ct,SHRUB,09/25/2009,Tribeca
Cornus x Rudban ;Aurora;,TREE,09/25/2009,Tribeca
Cornus x Rudban ;Aurora;,TREE,09/25/2009,Tribeca
Cornus x Rudban ;Stellar Pink;,TREE,09/25/2009,Tribeca
Cornus x Rudban ;Stellar Pink;,TREE,09/25/2009,Tribeca
Chamaecyparis obtusa,TREE,09/25/2009,Tribeca
Chamaecyparis obtusa,TREE,09/25/2009,Tribeca
Pinus heldreichii var. leucodermis,TREE,09/25/2009,Tribeca
2nd Southernmost Bed around basketball court,PLANTBED,09/25/2009,Tribeca
Calamagrostis x acutiflora ;Karl Foerster; 97ct,GRASS,09/25/2009,Tribeca
Miscanthus sinensis ;Morning Light; 18ct,GRASS,09/25/2009,Tribeca
Pennisetum alopecuroides ;Little Bunny; 200ct,GRASS,09/25/2009,Tribeca
Liriope muscari ;Big Blue; 630ct,PERENNIAL,09/25/2009,Tribeca
Taxus x media ;Greenwave; 18ct,SHRUB,09/25/2009,Tribeca
Hydrangea quercifolia 15ct,SHRUB,09/25/2009,Tribeca
Viburnum dentatum ;Autumn Jazz; - 5ct,SHRUB,09/25/2009,Tribeca
Chionanthus virginicus,TREE,09/25/2009,Tribeca
Chionanthus virginicus,TREE,09/25/2009,Tribeca
Lagerstroemia ;Natchez;,TREE,09/25/2009,Tribeca
Lagerstroemia ;Natchez;,TREE,09/25/2009,Tribeca
Lagerstroemia ;Natchez;,TREE,09/25/2009,Tribeca
Gleditsia triacanthos,TREE,09/25/2009,Tribeca
Gleditsia triacanthos,TREE,09/25/2009,Tribeca
Gleditsia triacanthos,TREE,09/25/2009,Tribeca
Gleditsia triacanthos,TREE,09/25/2009,Tribeca
Skate Park Bed and Harrison st. Bosque,PLANTBED,09/25/2009,Tribeca
Calamagrostis x acutiflora ;Karl Foerster; 65ct,GRASS,09/25/2009,Tribeca
Miscanthus sinensis ;Morning Light; 54ct,GRASS,09/25/2009,Tribeca
Pennisetum alopecuroides ;Little Bunny; 100ct,GRASS,09/25/2009,Tribeca
Liriope muscari ;Big Blue; 1200ct,PERENNIAL,09/25/2009,Tribeca
Taxus x media ;Greenwave; 27ct,SHRUB,09/25/2009,Tribeca
Hydrangea quercifolia 15t,SHRUB,09/25/2009,Tribeca
Rosa spp - yellow blooms 13ct,SHRUB,09/25/2009,Tribeca
Viburnum prunifolim ;Ovazumi; 9ct,SHRUB,09/25/2009,Tribeca
Pinus heldreichii var. leucodermis,TREE,09/25/2009,Tribeca
Zelkova serrata ;Halka;,TREE,09/25/2009,Tribeca
Zelkova serrata ;Halka;,TREE,09/25/2009,Tribeca
Zelkova serrata ;Halka;,TREE,09/25/2009,Tribeca
Zelkova serrata ;Halka;,TREE,09/25/2009,Tribeca
Zelkova serrata ;Halka;,TREE,09/25/2009,Tribeca
Zelkova serrata ;Halka;,TREE,09/25/2009,Tribeca
Zelkova serrata ;Halka;,TREE,09/25/2009,Tribeca
Zelkova serrata ;Halka;,TREE,09/25/2009,Tribeca
Zelkova serrata ;Halka;,TREE,09/25/2009,Tribeca
Zelkova serrata ;Halka;,TREE,09/25/2009,Tribeca
Zelkova serrata ;Halka;,TREE,09/25/2009,Tribeca
Zelkova serrata ;Halka;,TREE,09/25/2009,Tribeca
Zelkova serrata ;Halka;,TREE,09/25/2009,Tribeca
Zelkova serrata ;Halka;,TREE,09/25/2009,Tribeca
Zelkova serrata ;Halka;,TREE,09/25/2009,Tribeca
Zelkova serrata ;Halka;,TREE,09/25/2009,Tribeca
Lagerstroemia ;Natchez;,TREE,09/25/2009,Tribeca
Lagerstroemia ;Natchez;,TREE,09/25/2009,Tribeca
Lagerstroemia ;Natchez;,TREE,09/25/2009,Tribeca
Gleditsia triacanthos,TREE,09/25/2009,Tribeca
Gleditsia triacanthos,TREE,09/25/2009,Tribeca
Gleditsia triacanthos,TREE,09/25/2009,Tribeca
Gleditsia triacanthos,TREE,09/25/2009,Tribeca
North moore st. bldg. and Pier 25 entrance bed,PLANTBED,09/25/2009,Tribeca
Astilbe chinesis 80ct,PERENNIAL,09/25/2009,Tribeca
Calamagrostis x acutiflora ;Karl Foerster; 73ct,GRASS,09/25/2009,Tribeca
Miscanthus sinensis ;Morning Light; 30ct,GRASS,09/25/2009,Tribeca
Hemerocallis ;Happy Returns; 18ct,PERENNIAL,09/25/2009,Tribeca
Hemerocallis ;Stella D;oro; 18ct,PERENNIAL,09/25/2009,Tribeca
Hemerocallis ;Red Rum; 19ct,PERENNIAL,09/25/2009,Tribeca
Iris sibirica ;Butter and Sugar; 42ct,PERENNIAL,09/25/2009,Tribeca
Iris x ;Samurai Warrior; 42ct,PERENNIAL,09/25/2009,Tribeca
Liriope muscari ;Big Blue; 500ct,PERENNIAL,09/25/2009,Tribeca
Monara ;Fireball; 54ct,PERENNIAL,09/25/2009,Tribeca
Papaver orientale ;Midnight; 13ct,PERENNIAL,09/25/2009,Tribeca
Rosa ;Radrazz; 12ct,SHRUB,09/25/2009,Tribeca
Hydrangea quercifolia 7ct,SHRUB,09/25/2009,Tribeca
Viburnum prunifolim ;Ovazumi; 3ct,SHRUB,09/25/2009,Tribeca
Cytisus scoparius ;Moonlight; 20ct,SHRUB,09/25/2009,Tribeca
Chamaecyparis obtusa,TREE,09/25/2009,Tribeca
Pinus heldreichii var. leucodermis,TREE,09/25/2009,Tribeca
Taxodium distichum ;Shawnee Brave;,TREE,09/25/2009,Tribeca
Taxodium distichum ;Shawnee Brave;,TREE,09/25/2009,Tribeca
Taxodium distichum ;Shawnee Brave;,TREE,09/25/2009,Tribeca
Taxodium distichum ;Shawnee Brave;,TREE,09/25/2009,Tribeca
Taxodium distichum ;Shawnee Brave;,TREE,09/25/2009,Tribeca
Taxodium distichum ;Shawnee Brave;,TREE,09/25/2009,Tribeca
Taxodium distichum ;Shawnee Brave;,TREE,09/25/2009,Tribeca
Taxodium distichum ;Shawnee Brave;,TREE,09/25/2009,Tribeca
Pier 25 Easternmost Bed south end of playground,PLANTBED,09/25/2009,Tribeca
Luzula nivea 150ct,GRASS,09/25/2009,Tribeca
Viburnum dentatum ;Autumn Jazz; 11ct,SHRUB,09/25/2009,Tribeca
Ilex glabra ;Shamrock; 62ct,SHRUB,09/25/2009,Tribeca
Amelanchier canadensis - AXG?,TREE,09/25/2009,Tribeca
Amelanchier canadensis - AXG?,TREE,09/25/2009,Tribeca
Amelanchier canadensis - AXG?,TREE,09/25/2009,Tribeca
Koelreuteria paniculata,TREE,09/25/2009,Tribeca
Gleditsia triacanthos,TREE,09/25/2009,Tribeca
Gleditsia triacanthos,TREE,09/25/2009,Tribeca
Gleditsia triacanthos,TREE,09/25/2009,Tribeca
Gleditsia triacanthos,TREE,09/25/2009,Tribeca
Pier 25 2nd Easternmost Bed inside playground,PLANTBED,09/25/2009,Tribeca
Bouteloua gracilis 115ct,GRASS,09/25/2009,Tribeca
Festuca amethystina ;Superba; 135ct,GRASS,09/25/2009,Tribeca
Gleditsia triacanthos,TREE,09/25/2009,Tribeca
Gleditsia triacanthos,TREE,09/25/2009,Tribeca
Gleditsia triacanthos,TREE,09/25/2009,Tribeca
Pier 25 3rd Easternmost Bed north side of playground,PLANTBED,09/25/2009,Tribeca
Bouteloua gracilis 190ct,GRASS,09/25/2009,Tribeca
Festuca amethystina ;Superba; 570ct,GRASS,09/25/2009,Tribeca
Hemerocallis ;Rosey Returns; 38ct,PERENNIAL,09/25/2009,Tribeca
Sophora japonica ;Regent;,TREE,09/25/2009,Tribeca
Sophora japonica ;Regent;,TREE,09/25/2009,Tribeca
Sophora japonica ;Regent;,TREE,09/25/2009,Tribeca
Sophora japonica ;Regent;,TREE,09/25/2009,Tribeca
Sophora japonica ;Regent;,TREE,09/25/2009,Tribeca
Sophora japonica ;Regent;,TREE,09/25/2009,Tribeca
Pier 25 west end of playground,PLANTBED,09/25/2009,Tribeca
Achnatherum calamagrostis 341ct,GRASS,09/25/2009,Tribeca
Sesleria heufleriana 558ct,GRASS,09/25/2009,Tribeca
Hemerocallis ;Rosey Returns; 48ct,PERENNIAL,09/25/2009,Tribeca
Koelreuteria paniculata,TREE,09/25/2009,Tribeca
Koelreuteria paniculata,TREE,09/25/2009,Tribeca
Koelreuteria paniculata,TREE,09/25/2009,Tribeca
Koelreuteria paniculata,TREE,09/25/2009,Tribeca
Koelreuteria paniculata,TREE,09/25/2009,Tribeca
Koelreuteria paniculata,TREE,09/25/2009,Tribeca
Koelreuteria paniculata,TREE,09/25/2009,Tribeca
Koelreuteria paniculata,TREE,09/25/2009,Tribeca
Koelreuteria paniculata,TREE,09/25/2009,Tribeca
Koelreuteria paniculata,TREE,09/25/2009,Tribeca
Koelreuteria paniculata,TREE,09/25/2009,Tribeca
Koelreuteria paniculata,TREE,09/25/2009,Tribeca
Koelreuteria paniculata,TREE,09/25/2009,Tribeca
Koelreuteria paniculata,TREE,09/25/2009,Tribeca
Koelreuteria paniculata,TREE,09/25/2009,Tribeca
Koelreuteria paniculata,TREE,09/25/2009,Tribeca
Koelreuteria paniculata,TREE,09/25/2009,Tribeca
Pier 25 east end of turf field bed,PLANTBED,09/25/2009,Tribeca
Sesleria heufleriana 150ct,GRASS,09/25/2009,Tribeca
Pennisetum alopecuroides ;Little Bunny; 173ct,GRASS,09/25/2009,Tribeca
Amelanchier canadensis - AXG?,TREE,09/25/2009,Tribeca
Amelanchier canadensis - AXG?,TREE,09/25/2009,Tribeca
Amelanchier canadensis - AXG?,TREE,09/25/2009,Tribeca
Gymnocladus dioicius,TREE,09/25/2009,Tribeca
Gymnocladus dioicius,TREE,09/25/2009,Tribeca
Pier 25 Easternmost Bed Southside of turf field,PLANTBED,09/25/2009,Tribeca
Sesleria heufleriana 173ct,GRASS,09/25/2009,Tribeca
Dianthus gratianapolitanus 123ct,PERENNIAL,09/25/2009,Tribeca
Festuca amethystina ;Superba; 173ct,GRASS,09/25/2009,Tribeca
Pennisetum alopecuroides ;Little Bunny; 173ct,GRASS,09/25/2009,Tribeca
Amelanchier canadensis - AXG?,TREE,09/25/2009,Tribeca
Amelanchier canadensis - AXG?,TREE,09/25/2009,Tribeca
Amelanchier canadensis - AXG?,TREE,09/25/2009,Tribeca
Maackia amurensis,TREE,09/25/2009,Tribeca
Maackia amurensis,TREE,09/25/2009,Tribeca
Gymnocladus dioicius,TREE,09/25/2009,Tribeca
Pier 25  Easternmost Bed 2nd Southside of turf field,PLANTBED,09/25/2009,Tribeca
Sesleria heufleriana 173ct,GRASS,09/25/2009,Tribeca
Bouteloua gracilis 100ct,GRASS,09/25/2009,Tribeca
Pennisetum alopecuroides ;Little Bunny; 173ct,GRASS,09/25/2009,Tribeca
Gymnocladus dioicius,TREE,09/25/2009,Tribeca
Gymnocladus dioicius,TREE,09/25/2009,Tribeca
Pier 25 Westernmost Bed Southside of turf field,PLANTBED,09/25/2009,Tribeca
Festuca amethystina ;Superba; 173ct,GRASS,09/25/2009,Tribeca
Sesleria heufleriana 173ct,GRASS,09/25/2009,Tribeca
Bouteloua gracilis 260ct,GRASS,09/25/2009,Tribeca
Pennisetum alopecuroides ;Little Bunny; 173ct,GRASS,09/25/2009,Tribeca
Ilex glabra ;Shamrock; 60ct,SHRUB,09/25/2009,Tribeca
Vinca minor 1000ct,GRASS,09/25/2009,Tribeca
Amelanchier canadensis - AXG?,TREE,09/25/2009,Tribeca
Amelanchier canadensis - AXG?,TREE,09/25/2009,Tribeca
Maackia amurensis,TREE,09/25/2009,Tribeca
Maackia amurensis,TREE,09/25/2009,Tribeca
Maackia amurensis,TREE,09/25/2009,Tribeca
Maackia amurensis,TREE,09/25/2009,Tribeca
Maackia amurensis,TREE,09/25/2009,Tribeca
Maackia amurensis,TREE,09/25/2009,Tribeca
